Column,Frequency,Percentage,Files_Count,Sample_Files
RDEATH2014,1,2.0,1,"co-est2018-alldata.csv"
RDEATH2015,1,2.0,1,"co-est2018-alldata.csv"
RDEATH2016,1,2.0,1,"co-est2018-alldata.csv"
RDEATH2017,1,2.0,1,"co-est2018-alldata.csv"
RDEATH2018,1,2.0,1,"co-est2018-alldata.csv"
RNATURALINC2011,1,2.0,1,"co-est2018-alldata.csv"
RNATURALINC2012,1,2.0,1,"co-est2018-alldata.csv"
RNATURALINC2013,1,2.0,1,"co-est2018-alldata.csv"
RNATURALINC2014,1,2.0,1,"co-est2018-alldata.csv"
RNATURALINC2015,1,2.0,1,"co-est2018-alldata.csv"
RNATURALINC2016,1,2.0,1,"co-est2018-alldata.csv"
RNATURALINC2017,1,2.0,1,"co-est2018-alldata.csv"
RNATURALINC2018,1,2.0,1,"co-est2018-alldata.csv"
RINTERNATIONALMIG2011,1,2.0,1,"co-est2018-alldata.csv"
RINTERNATIONALMIG2012,1,2.0,1,"co-est2018-alldata.csv"
RINTERNATIONALMIG2013,1,2.0,1,"co-est2018-alldata.csv"
RINTERNATIONALMIG2014,1,2.0,1,"co-est2018-alldata.csv"
RINTERNATIONALMIG2015,1,2.0,1,"co-est2018-alldata.csv"
RINTERNATIONALMIG2016,1,2.0,1,"co-est2018-alldata.csv"
RINTERNATIONALMIG2017,1,2.0,1,"co-est2018-alldata.csv"
RINTERNATIONALMIG2018,1,2.0,1,"co-est2018-alldata.csv"
RDOMESTICMIG2011,1,2.0,1,"co-est2018-alldata.csv"
RDOMESTICMIG2012,1,2.0,1,"co-est2018-alldata.csv"
RDOMESTICMIG2013,1,2.0,1,"co-est2018-alldata.csv"
RDOMESTICMIG2014,1,2.0,1,"co-est2018-alldata.csv"
RDOMESTICMIG2015,1,2.0,1,"co-est2018-alldata.csv"
RDOMESTICMIG2016,1,2.0,1,"co-est2018-alldata.csv"
RDOMESTICMIG2017,1,2.0,1,"co-est2018-alldata.csv"
RDOMESTICMIG2018,1,2.0,1,"co-est2018-alldata.csv"
RNETMIG2011,1,2.0,1,"co-est2018-alldata.csv"
RNETMIG2012,1,2.0,1,"co-est2018-alldata.csv"
RNETMIG2013,1,2.0,1,"co-est2018-alldata.csv"
RNETMIG2014,1,2.0,1,"co-est2018-alldata.csv"
RNETMIG2015,1,2.0,1,"co-est2018-alldata.csv"
RNETMIG2016,1,2.0,1,"co-est2018-alldata.csv"
RNETMIG2017,1,2.0,1,"co-est2018-alldata.csv"
RNETMIG2018,1,2.0,1,"co-est2018-alldata.csv"
CSA,1,2.0,1,"csa-est2018-alldata.csv"
CBSA,1,2.0,1,"csa-est2018-alldata.csv"
MDIV,1,2.0,1,"csa-est2018-alldata.csv"
STCOU,1,2.0,1,"csa-est2018-alldata.csv"
LSAD,1,2.0,1,"csa-est2018-alldata.csv"
NPOPCHG2010,1,2.0,1,"csa-est2018-alldata.csv"
NPOPCHG2011,1,2.0,1,"csa-est2018-alldata.csv"
NPOPCHG2012,1,2.0,1,"csa-est2018-alldata.csv"
NPOPCHG2013,1,2.0,1,"csa-est2018-alldata.csv"
NPOPCHG2014,1,2.0,1,"csa-est2018-alldata.csv"
NPOPCHG2015,1,2.0,1,"csa-est2018-alldata.csv"
NPOPCHG2016,1,2.0,1,"csa-est2018-alldata.csv"
NPOPCHG2017,1,2.0,1,"csa-est2018-alldata.csv"
NPOPCHG2018,1,2.0,1,"csa-est2018-alldata.csv"
ESTBASE2020_CIV,1,2.0,1,"sc-est2022-agesex-civ.csv"
POPEST2020_CIV,1,2.0,1,"sc-est2022-agesex-civ.csv"
POPEST2021_CIV,1,2.0,1,"sc-est2022-agesex-civ.csv"
POPEST2022_CIV,1,2.0,1,"sc-est2022-agesex-civ.csv"
PPOPCHG_2020,1,2.0,1,"NST-EST2022-POPCHG2020_2022.csv"
PPOPCHG_2021,1,2.0,1,"NST-EST2022-POPCHG2020_2022.csv"
PPOPCHG_2022,1,2.0,1,"NST-EST2022-POPCHG2020_2022.csv"
NRANK_ESTBASE2020,1,2.0,1,"NST-EST2022-POPCHG2020_2022.csv"
NRANK_POPEST2020,1,2.0,1,"NST-EST2022-POPCHG2020_2022.csv"
NRANK_POPEST2021,1,2.0,1,"NST-EST2022-POPCHG2020_2022.csv"
NRANK_POPEST2022,1,2.0,1,"NST-EST2022-POPCHG2020_2022.csv"
NRANK_NPCHG2020,1,2.0,1,"NST-EST2022-POPCHG2020_2022.csv"
NRANK_NPCHG2021,1,2.0,1,"NST-EST2022-POPCHG2020_2022.csv"
